,0
1621,3
1622,8
1623,10
1624,8
1625,5
1626,9
1627,9
1628,5
1629,5
1630,5
1631,9
1632,1
1633,1
1634,4
1635,9
1636,3
1637,3
1638,4
1639,4
1640,1
1641,4
1642,5
1643,5
1644,2
1645,5
1646,2
1647,2
1648,10
1649,9
1650,3
1651,10
1652,4
1653,10
1654,4
1655,3
1656,6
1657,4
1658,5
1659,4
1660,9
1661,5
1662,11
1663,9
1664,2
1665,2
1666,3
1667,10
1668,3
1669,10
1670,4
1671,3
1672,6
1673,4
1674,5
1675,6
1676,9
1677,5
1678,2
1679,9
1680,2
1681,2
1682,8
1683,3
1684,10
1685,10
1686,10
1687,3
1688,4
1689,8
1690,8
1691,7
1692,0
1693,3
1694,0
1695,3
1696,3
1697,10
1698,1
1699,0
1700,3
1701,8
1702,10
1703,5
1704,8
1705,9
1706,5
1707,5
1708,5
1709,9
1710,8
1711,7
1712,1
1713,1
1714,3
1715,7
1716,3
1717,7
1718,10
1719,3
1720,8
1721,10
1722,9
1723,1
1724,8
1725,9
1726,1
1727,8
1728,5
1729,3
1730,5
1731,5
1732,5
1733,3
1734,10
1735,10
1736,2
1737,2
1738,2
1739,2
1740,2
1741,3
1742,5
1743,4
1744,5
1745,10
1746,1
1747,3
1748,4
1749,10
1750,2
1751,2
1752,4
1753,9
1754,2
1755,5
1756,10
1757,10
1758,3
1759,1
1760,9
1761,1
1762,9
1763,3
1764,3
1765,4
1766,9
1767,2
1768,10
1769,2
1770,10
1771,2
1772,3
1773,9
1774,4
1775,9
1776,10
1777,5
1778,2
1779,10
1780,5
1781,5
1782,11
1783,0
1784,0
1785,11
1786,5
1787,10
1788,6
1789,10
1790,0
1791,10
1792,6
1793,8
1794,1
1795,5
1796,1
1797,7
1798,5
1799,7
1800,7
1801,8
1802,6
1803,0
1804,0
1805,5
1806,8
1807,6
1808,5
1809,6
1810,1
1811,10
1812,1
1813,7
1814,11
1815,7
1816,10
1817,7
1818,10
1819,5
1820,6
1821,10
1822,6
1823,11
1824,0
1825,6
1826,5
1827,8
1828,1
1829,5
1830,0
1831,10
1832,10
1833,5
1834,0
1835,0
1836,5
1837,0
1838,8
1839,10
1840,5
1841,10
1842,1
1843,6
1844,8
1845,0
1846,1
1847,6
1848,7
1849,6
1850,8
1851,1
1852,11
1853,0
1854,6
1855,6
1856,5
1857,6
1858,0
1859,6
1860,0
1861,1
1862,1
1863,7
1864,5
1865,11
1866,0
1867,10
1868,11
1869,11
1870,8
1871,8
1872,6
1873,5
1874,8
1875,7
1876,1
1877,11
1878,1
1879,5
1880,7
1881,11
1882,11
1883,10
1884,6
1885,6
1886,0
1887,0
1888,1
1889,10
1890,8
1891,7
1892,8
1893,8
1894,10
1895,1
1896,6
1897,8
1898,11
1899,8
1900,10
1901,0
1902,7
1903,11
1904,6
1905,8
1906,11
1907,8
1908,7
1909,8
1910,11
1911,6
1912,1
1913,11
1914,6
1915,7
1916,6
1917,2
1918,1
1919,11
1920,1
1921,6
1922,11
1923,8
1924,10
1925,1
1926,0
1927,7
1928,11
1929,1
1930,7
1931,11
1932,6
1933,8
1934,7
1935,11
1936,7
1937,1
1938,0
1939,2
1940,7
1941,7
1942,2
1943,7
1944,7
1945,6
1946,6
1947,6
1948,8
1949,4
1950,8
1951,1
1952,8
1953,7
1954,2
1955,0
1956,2
1957,0
1958,1
1959,6
1960,1
1961,4
1962,11
1963,1
1964,2
1965,8
1966,8
1967,6
1968,1
1969,6
1970,11
1971,8
1972,11
1973,7
1974,1
1975,6
1976,2
1977,4
1978,7
1979,7
1980,7
1981,7
1982,4
1983,11
1984,8
1985,4
1986,0
1987,4
1988,2
1989,6
1990,7
1991,8
1992,7
1993,7
1994,11
1995,4
1996,11
1997,11
1998,0
1999,2
2000,2
2001,8
2002,0
2003,7
2004,8
2005,0
2006,0
2007,2
2008,4
2009,0
2010,4
2011,4
2012,11
2013,6
2014,11
2015,7
2016,2
2017,11
2018,8
2019,7
2020,1
2021,2
2022,4
2023,0
2024,4
2025,4
2026,2
2027,4
2028,2
2029,0
2030,2
2031,0
2032,1
2033,6
2034,4
2035,6
2036,4
2037,3
2038,6
2039,9
2040,11
2041,4
2042,11
2043,3
2044,2
2045,6
2046,9
2047,4
